,doc_sentiments,documents,zone_sentiments
1124,1.8444940476190477,"['Elizabeth Warren and 30 other senators call for a $50 billion bailout for child care providers struggling because of coronavirus', 'Senator Elizabeth Warren and 30 of her Senate colleagues are calling for the next coronavirus rescue bill to include a $50 billion bailout for struggling child care ...']","[1.046875, 0.7976190476190477]"
1125,-1.6578825705039297,"['Progressive movement wary of Warren for VP', 'Over the past week', ' the progressive group Roots Action quietly began circulating a letter to other left-wing organizations', ' calling on Joe Biden to nominate ...']","[0.38095238095238093, 0, -2.0388349514563107, 0]"
1126,0.4572143452877398,"['An Interview With Elizabeth Warren', "" Trump's $500 Billion Coronavirus “Slush Fund” and More"", 'The coronavirus is a rapidly developing news story', ' so some of the *content* in this article might be out of date. Check out our most recent coverage of the ...']","[0, 0.16363636363636364, 0.0, 0.29357798165137616]"
1127,0.3447176684881603,"['Elizabeth Warren talks policy on Miley Cyrus Instagram show ‘Bright Minded’', ""Warren addressed the federal government's $2 trillion COVID-19 relief package and what she believes still needs to be done"", ' including allocating more money ...']","[-0.3333333333333333, -0.01639344262295081, 0.6944444444444444]"
1128,0.5438508064516129,"['Elizabeth Warren told #BernieOrBust folks just what they need to hear about Biden | Opinion', 'Sen. Elizabeth Warren', ' who dropped out of the Democratic president primary in Maarch', ' made the case that presumptive nomiee Joe Biden is a man of ...']","[0, 0, 0.4032258064516129, 0.140625]"
1129,-3.116835016835017,"['Elizabeth Warren urges Congress to enact more protections for ‘essential’ workers', 'Sen. Elizabeth Warren is urging Congress to enact extra protections for front-line workers — including medical', ' grocery', ' janitorial and child care providers — in ...']","[-1.925925925925926, -1.190909090909091, 0, 0]"
1130,-0.7243033159679153,"['Elizabeth Warren And Sherrod Brown Unveil Sweeping 6-Prong Consumer Protection Proposal', 'Senators Elizabeth Warren and Sherrod Brown aim to patch myriad gaps identified in the CARES Act and provide comprehensive consumer relief.']","[0.3908045977011494, -1.1151079136690647]"
1131,-3.6793852676205616,"['With a word', ' Warren keeps 2020 hopes on the table', 'BOSTON (SHNS) – Sen. Elizabeth Warren launched her presidential campaign with a February 2019 rally in Lawrence', ' attended by throngs of supporters', ' ...']","[0, 0, 0.14414414414414414, -3.8235294117647056, 0]"
1132,-1.507732053432591,"['Warren endorses 20 Democratic women for down-ballot races | TheHill', 'Sen. Elizabeth Warren (D-Mass.) on Wednesday announced endorsements for 20 women running for congressional', ' state and local offices', ' including a number ...']","[-1.6865671641791045, -1.6037735849056605, 0, 1.7826086956521738]"
1133,0.42033854503165785,"['Elizabeth Warren Has a Plan to Protect Essential Workers – Mother Jones', 'The coronavirus is a rapidly developing news story', ' so some of the *content* in this article might be out of date. Check out our most recent coverage of the ...']","[0.1267605633802817, 0.0, 0.29357798165137616]"
